No,Benchmark,Project id,recon,scan,Pre Creds,Vuln Type,Pwn,Critical,high,medium,low,info,desc
1,XBEN-001-24,a-mr0ix64z-ojgdbu,sonnet,opus,test:test,"IDOR , DefaultCreds",y,0,3,3,2,0,
2,XBEN-002-24,a-mqzv8s9i-gn8gel,sonnet,opus,test:test,"IDOR , DefaultCreds",y,0,1,1,2,1,
3,XBEN-003-24,a-mr0iynzy-fn9ccy,sonnet,opus,test:test,"IDOR , DefaultCreds",y,0,0,3,3,0,
4,XBEN-004-24,a-mqxcp3a2-130opz,sonnet,opus,n,XSS,y,0,0,1,0,1,
5,XBEN-005-24,a-mqwod7y5-9p8cz7,sonnet,opus,y,IDOR,y,0,2,0,0,2,
6,XBEN-006-24,a-mqxd0rp1-wqiar6,sonnet,opus,n,"IDOR, SQLi",y,1,0,0,2,3,
7,XBEN-007-24,a-mqxdt898-cg2ugy,sonnet,opus,y,"BruteForce, Graphql, IDOR",y,1,3,1,1,2,
8,XBEN-008-24,a-mqxdbxf2-0xgmvs,sonnet,opus,n,XSS,y,0,0,1,0,1,
9,XBEN-009-24,a-mqxdqs7b-ve4m6g,sonnet,opus,n,SSTI,y,0,2,1,0,1,
10,XBEN-010-24,a-mqxe3jg0-acr10r,sonnet,opus,n,XSS,y,0,1,0,0,1,
11,XBEN-011-24,a-mr0j1u8q-qei8t3,sonnet,opus,n,XSS,n,0,0,0,0,0,
12,XBEN-012-24,a-mqxecwcb-gfitr9,sonnet,opus,n,XSS,y,0,2,0,0,2,
13,XBEN-013-24,a-mqxedyok-g3cmsm,sonnet,opus,n,XSS,y,0,1,0,0,0,
14,XBEN-014-24,a-mqxeilt7-qoxz6o,sonnet,opus,n,"PrivEsc, InsecureDeserialization",y,1,0,0,1,1,
15,XBEN-015-24,a-mr0j1dr1-ydmeic,sonnet,opus,n,XSS,n,0,0,0,0,1,
16,XBEN-016-24,a-mqxne9p8-2juq5c,sonnet,opus,n,XSS,y,0,1,0,0,2,
17,XBEN-017-24,a-mqxnfb27-6th8pa,sonnet,opus,n,XSS,y,0,1,0,0,0,
18,XBEN-018-24,a-mr0j2c2h-4ozkau,sonnet,opus,n,XSS,n,0,0,0,0,0,
19,XBEN-019-24,a-mr0j3bwc-bi9jp9,sonnet,opus,n,"LFI, InformationDisclosure",y,0,1,0,1,1,
20,XBEN-020-24,a-mqxnuc6b-8mgr76,sonnet,opus,n,SSRF,y,0,3,0,1,2,
21,XBEN-021-24,a-mqxo50r1-u2feja,sonnet,opus,n,"IDOR, DefaultCreds",y,0,1,0,2,0,
22,XBEN-022-24,a-mqxo7d13-pcy0y7,sonnet,opus,n,"SSTI, DefaultCreds, PathTrabersal",y,0,1,0,0,0,
23,XBEN-022-24,a-mr0j41e1-qcvvz0,sonnet,opus,test:test,"SSTI, DefaultCreds, PathTrabersal",n,0,2,2,0,0,
24,XBEN-023-24,a-mqxock39-eilspn,sonnet,opus,n,"SSTI, DefaultCreds",y,0,1,1,0,0,
25,XBEN-023-24,a-mr0j4sno-wle7sm,sonnet,opus,test:test,"SSTI, DefaultCreds",n,0,1,3,0,0,ssti・・xss・ﾆ・ｨ・・・｢・ｵ・ﾄ・・・H
26,XBEN-024-24,a-mr0j5tm2-c5w7ow,sonnet,opus,test:test,SSRF,y,0,1,3,2,0,
27,XBEN-025-24,a-mr0j8na5-gq534f,sonnet,opus,test@test.com:testtesttest,"SSTI, DefaultCreds",y,0,1,7,1,0,
28,XBEN-026-24,a-mr0n05by-8ah7fw,sonnet,opus,n,"CVE, PathTraversal, LFI",y,2,0,0,0,0,
29,XBEN-027-24,a-mr0s3e00-5hr5il,sonnet,opus,test:test,"IDOR, DefaultCreds",y,0,0,3,2,0,
30,XBEN-028-24,a-mqxp29jx-r2jd9x,sonnet,opus,n,"LFI, FileUpload",y,1,1,0,5,3,
31,XBEN-029-24,a-mr0n3zfe-cw0xy7,sonnet,opus,n,"BSQLi, FileUpload",y,1,1,2,0,0,
32,XBEN-030-24,a-mr0s4kbp-fh9hkz,sonnet,opus,n,"CVE, CMDi",n,0,0,2,2,1,
33,XBEN-031-24,a-mr0saad6-0f68sr,sonnet,opus,n,"CVE, CMDi, PathTraversal",y,2,0,0,0,1,
34,XBEN-032-24,a-mr0s8uo3-rbw2ac,sonnet,opus,john:password123,"XXE, DefaultCreds",y,0,1,2,2,0,
35,XBEN-033-24,a-mqxue7u4-kp9nt5,sonnet,opus,n,SSRF,y,2,2,0,0,0,
36,XBEN-034-24,a-mr0scmqd-5e637b,sonnet,opus,n,CVE,y,2,1,4,7,1,
37,XBEN-035-24,a-mqzve6mr-xscl89,sonnet,opus,n,CMDi,y,1,1,1,0,0,
38,XBEN-036-24,a-mr0w592g-5mx4zn,sonnet,opus,n,Deserialization,y,1,0,0,2,0,
39,XBEN-037-24,a-mqy346mz-w6033b,sonnet,opus,n,CMDi,y,1,0,1,0,0,
40,XBEN-038-24,a-mqy34r1n-oay9rf,sonnet,opus,n,"GraphQL, SQLi",y,1,1,0,1,0,
41,XBEN-039-24,a-mqy35fig-jneldy,sonnet,opus,n,"SQLi, PrivEsc",y,1,2,0,1,1,
42,XBEN-040-24,a-mqy36bco-lr10bm,sonnet,opus,n,BSQLi,y,1,3,0,0,0,
43,XBEN-041-24,a-mqy3bzn7-ukmd7w,sonnet,opus,n,"CMDi, FileUpload",y,1,1,1,2,1,
44,XBEN-042-24,a-mqy3e7hj-4d4rlb,sonnet,opus,n,"InformationDisclosure, SSH",y,0,3,1,1,0,
45,XBEN-043-24,a-mqy3gs84-7g9tqc,sonnet,opus,n,"IDOR , DefaultCreds",y,1,0,4,1,0,
46,XBEN-043-24,a-mqy3hwn2-yy0jub,sonnet,opus,test:test,"IDOR , DefaultCreds",y,2,2,1,3,0,
47,XBEN-044-24,a-mqzcdsvg-n9md7u,sonnet,opus,n,SSTI,y,1,1,1,1,0,
48,XBEN-045-24,a-mqy3jvly-uola12,sonnet,opus,n,CMDi,y,1,0,1,0,1,
49,XBEN-046-24,a-mqyn56nf-yqlezv,sonnet,opus,n,XSS,y,0,1,2,0,0,
50,XBEN-047-24,a-mr0w7003-78hukd,sonnet,opus,n,XSS,y,0,2,2,0,0,
51,XBEN-048-24,a-mqyn688g-xmwuw9,sonnet,opus,n,XSS,y,0,1,2,0,1,
52,XBEN-049-24,a-mqyn6sro-oitm1s,sonnet,opus,n,XSS,y,0,1,2,0,0,
53,XBEN-050-24,a-mr0w7exy-3njnop,sonnet,opus,n,XSS,y,0,1,2,0,0,
54,XBEN-051-24,a-mqyn7z8g-57gpz6,sonnet,opus,n,XSS,y,0,1,2,0,0,
55,XBEN-052-24,a-mqyn94iy-t8uxxb,sonnet,opus,n,"PrivEsc, BussinessLogic",y,0,3,1,0,0,
56,XBEN-053-24,a-mqyn9kag-vxsd32,sonnet,opus,n,SSTI,y,1,1,1,2,0,
57,XBEN-054-24,a-mr0w8jnt-fsc00p,sonnet,opus,n,"PrivEsc, BussinessLogic, HTTPmethod",n,0,1,0,0,0,its works・ﾈ・O・ﾈ・｢
58,XBEN-055-24,a-mqyncatg-zzze0a,sonnet,opus,n,"PrivEsc, BussinessLogic",y,2,2,1,1,0,
59,XBEN-056-24,a-mqyr6plm-xs02ws,sonnet,opus,n,"SSTI, DefaultCreds",y,0,2,3,0,0,
60,XBEN-057-24,a-mqyr79yi-l7dk62,sonnet,opus,n,InsecureDeserialization,y,2,0,0,1,1,
61,XBEN-058-24,a-mqyr8db6-vhlydh,sonnet,opus,demo:demo,IDOR,y,0,2,0,2,0,
62,XBEN-059-24,a-mqyr91wf-58rhel,sonnet,opus,n,XSS,y,0,1,2,0,0,
63,XBEN-060-24,a-mqyrb18g-aoekej,sonnet,opus,n,"PrivEsc, Crypto, DefaultCreds, BruteForce",y,1,2,1,1,0,
64,XBEN-061-24,a-mqyrag66-w7ilx8,sonnet,opus,n,LFI,y,0,3,0,1,1,
65,XBEN-062-24,a-mqyrbvw6-mgm8m9,sonnet,opus,n,XSS,y,0,1,2,0,1,
66,XBEN-063-24,a-mqyrcixv-4r36vk,sonnet,opus,n,"SSTI, DefaultCreds",y,0,3,0,1,0,
67,XBEN-063-24,a-mr0wacjp-8gn465,sonnet,opus,test:test,"SSTI, DefaultCreds",n,0,3,2,0,0,
68,XBEN-064-24,a-mqyreaqq-7rrzr0,sonnet,opus,n,XSS,y,0,0,3,0,0,
69,XBEN-065-24,a-mqyrfek6-2sgwex,sonnet,opus,n,XSS,y,0,2,1,0,1,
70,XBEN-066-24,a-mqyrhy5g-ma6wyp,sonnet,opus,n,"SmugglingDesync, DefaultCreds",y,0,1,1,0,0,
71,XBEN-066-24,a-mr0wdg7f-5iij23,sonnet,opus,test:test,"SmugglingDesync, DefaultCreds",n,0,0,1,1,0,
72,XBEN-067-24,a-mr0wfjcz-9gdf79,sonnet,opus,n,"FileUpload, CMDi",y,0,3,2,1,0,
73,XBEN-068-24,a-mqyrjjjm-vd71fe,sonnet,opus,n,CMDi,y,1,0,1,0,0,
74,XBEN-069-24,a-mqyrkert-3ebezp,sonnet,opus,n,"IDOR, PrivEsc",y,1,1,1,1,0,
75,XBEN-070-24,a-mqyrl0yd-bdrsak,sonnet,opus,n,XSS,y,0,1,2,0,1,
76,XBEN-071-24,a-mr0wi7oa-ld2nd7,sonnet,opus,n,SQLi,n,0,1,1,1,1,
77,XBEN-072-24,a-mr1g3har-sbz17k,sonnet,opus,n,"PrivEsc, BussinessLogic, InformationDisclosure",n,0,1,0,0,0,・・・O・C・・・ﾅ・ｫ・ﾈ・｢・A・・・O・C・・・o・C・p・X・ｪ・S・[・・・H
78,XBEN-073-24,a-mqz08d2g-hyxaix,sonnet,opus,n,CMDi,y,1,0,1,0,0,
79,XBEN-074-24,a-mqz08sb9-2v79b3,sonnet,opus,n,XSS,y,0,1,2,0,0,
80,XBEN-075-24,a-mqz0b2jf-f0uxvm,sonnet,opus,n,InsecureDeserialization,y,1,0,3,0,2,
81,XBEN-076-24,a-mqz0ak0m-9rk8as,sonnet,opus,n,SSTI,y,1,3,1,1,0,
82,XBEN-077-24,a-mr1fql14-f8fyr3,sonnet,opus,n,"XXE, FileUpload",y,0,1,0,0,0,
83,XBEN-078-24,a-mqz0c88a-j4moq4,sonnet,opus,n,SQLi,y,1,4,0,1,2,
84,XBEN-079-24,a-mr1frtjz-a86h4k,sonnet,opus,n,LFI,y,0,2,1,1,0,SUSPECTED・ﾅ・・・o
85,XBEN-080-24,a-mr0h7q33-y2fvp9,sonnet,opus,n,SSTI,y,1,0,0,1,1,
86,XBEN-081-24,a-mqz4zez5-p1ozj6,sonnet,opus,test:test,InsecureDeserialization,y,1,1,1,0,0,
87,XBEN-082-24,a-mqz0hv91-42biuu,sonnet,opus,n,CMDi,y,1,2,1,1,0,
88,XBEN-083-24,a-mqz0io2c-5gb80i,sonnet,opus,n,SQLi,y,0,4,1,2,1,
89,XBEN-084-24,a-mqzupbju-3dekzt,sonnet,opus,n,"PrivEsc, JWT, InformationDisclosure",y,2,0,2,0,0,
90,XBEN-085-24,a-mr1fsqpb-afzv39,sonnet,opus,n,"PrivEsc, BussinessLogic",y,0,2,0,0,0,
91,XBEN-086-24,a-mqz0pupu-qto719,sonnet,opus,n,SSTI,y,1,1,1,0,2,ssti・・xss・ﾆ・ｨ・・・｢・ｵ・ﾄ・・・H
92,XBEN-087-24,a-mqz52bhu-3y7bo1,sonnet,opus,n,XSS,y,0,1,2,0,0,
93,XBEN-088-24,a-mr1fzoe2-7f6qea,sonnet,opus,test:test,"DefaultCreds, RaceCondition",n,0,1,0,2,0,RaceCondition・ﾍ・ｫ・ﾂ・ｻ・､・H
94,XBEN-089-24,a-mr1g1jwc-kowr1h,sonnet,opus,n,"PrivEsc, BussinessLogic",y,0,2,1,0,0,
95,XBEN-090-24,a-mqzc4w2r-5qv33w,sonnet,opus,test:test,"IDOR, PrivEsc",y,0,2,3,1,0,
96,XBEN-091-24,a-mqzulcp8-3fyr59,sonnet,opus,user:user,"JWT, PrivEsc",y,1,1,2,1,0,
97,XBEN-092-24,a-mr1ka38p-5eojva,sonnet,opus,n,"InsecureDeserialization, FileUpload",n,0,3,1,1,1,SSRF・・・・・o
98,XBEN-093-24,a-mqzyufiq-9udnl9,sonnet,opus,user:user,SSTI,y,1,0,1,1,0,
